text,label
가벼운 아침 메뉴가 필요하다,죽
스트레스 받은 날 매콤달콤한 게 당긴다,떡볶이
바빠서 빨리 먹을 음식이 필요하다,김밥
얼얼한 음식이 먹고 싶다,마라탕
도서관에서 먹기 편한 음식이 필요하다,김밥
오늘은 빙수 같은 디저트가 좋다,빙수
배고픈데 간단한 매운 음식이 좋다,떡볶이
흐리고 비 오는 날엔 전이 좋다,파전
계속 피곤해서 보양식이 필요하다,삼계탕
오늘은 바삭한 고기가 당긴다,치킨
추운 날씨라 따뜻한 면 요리가 생각난다,칼국수
건강한 한 끼가 필요하다,삼계탕
든든하고 뜨거운 음식이 필요하다,칼국수
막걸리랑 먹을 음식 추천해줘,파전
오늘은 제대로 먹고 싶다,치킨
오늘은 비싼 음식 먹고 싶다,소고기
감기 기운이 있어서 몸보신하고 싶다,삼계탕
기념일에 어울리는 음식 추천해줘,소고기
가볍게 포장해서 먹고 싶다,김밥
고급스러운 외식 메뉴가 먹고 싶다,소고기
오늘은 파가 들어간 전 같은 음식이 좋다,파전
오늘은 고소하고 바삭한 음식이 끌린다,치킨
부드럽고 따뜻한 음식이 좋다,죽
수업 끝나고 빠르게 먹고 싶다,김밥
입맛이 없다,죽
도시락 메뉴 추천해줘,김밥
뜨거운 국물은 부담스럽고 시원한 게 좋다,빙수
소화 부담 없는 음식이 좋다,죽
느끼하고 맛있는 게 당긴다,피자
기운 없고 추워서 국물 먹고 싶다,칼국수
오늘은 매운 음식이 싫다,죽
피곤해서 따뜻한 국물과 고기가 먹고 싶다,삼계탕
오늘 점심은 간단하게 해결하고 싶다,김밥
오늘은 담백한 국물이 좋을 것 같다,칼국수
친구랑 마라 먹으러 가고 싶다,마라탕
간단한 분식이 먹고 싶다,김밥
밖에 있다가 너무 더워졌다,빙수
오늘은 빨리 먹고 다시 일해야 한다,김밥
빠르게 사 먹을 수 있는 음식이 필요하다,김밥
점심을 간단히 해결하고 싶다,김밥
막걸리랑 어울리는 음식이 먹고 싶다,파전
오늘은 아이스 디저트가 먹고 싶다,빙수
막걸리 안주로 좋은 음식이 필요하다,파전
좋은 음식으로 하루를 마무리하고 싶다,소고기
여름이라 차가운 음식이 당긴다,빙수
친구랑 분식 먹으러 가고 싶다,떡볶이
점심 시간이 별로 없다,김밥
학교 끝나고 간식이 필요하다,떡볶이
맛이 강한 음식이 필요하다,마라탕
오늘은 면도 먹고 싶고 국물도 먹고 싶다,칼국수
오늘은 얼음 들어간 디저트가 생각난다,빙수
야식으로 든든한 게 먹고 싶다,치킨
더위 식힐 음식 추천해줘,빙수
소풍 도시락 느낌의 음식이 먹고 싶다,김밥
고소한 전 종류가 먹고 싶다,파전
오늘은 치킨 같은 음식이 당긴다,치킨
기분 전환할 매운 음식 추천해줘,마라탕
요즘 잠을 못 자서 기운이 없다,삼계탕
빗소리 들으면서 먹기 좋은 음식이 먹고 싶다,파전
스트레스 받을 때 먹는 분식이 필요하다,떡볶이
비가 와서 친구랑 전 먹고 싶다,파전
오늘은 양식이 먹고 싶다,피자
매운맛이 살짝 있는 간식이 필요하다,떡볶이
더운 날 기분 전환할 디저트 추천해줘,빙수
여름 느낌 나는 디저트가 먹고 싶다,빙수
친구 집에서 먹을 메뉴 추천해줘,치킨
오늘은 소고기 같은 음식이 당긴다,소고기
부담 없이 먹을 음식이 필요하다,죽
친구랑 나눠 먹을 차가운 디저트가 필요하다,빙수
입맛이 없어서 매운 게 필요하다,마라탕
간식으로 매운 게 먹고 싶다,떡볶이
매운 소스가 있는 음식이 먹고 싶다,떡볶이
친구와 간식으로 먹을 음식이 필요하다,떡볶이
몸이 으슬으슬하다,칼국수
집에 가는 길이 너무 추웠다,칼국수
간편한 한식이 먹고 싶다,김밥
우울해서 자극적인 음식이 생각난다,마라탕
비 올 때 생각나는 음식이 먹고 싶다,파전
합격해서 맛있는 거 먹고 싶다,소고기
오늘은 피자 같은 음식이 당긴다,피자
매콤한 분식이 먹고 싶다,떡볶이
오늘은 고기 먹고 힘내고 싶다,소고기
가족 외식 메뉴 추천해줘,소고기
맵고 얼얼한 메뉴 추천해줘,마라탕
분식으로 한 끼 해결하고 싶다,떡볶이
이동하면서 먹기 좋은 음식 추천해줘,김밥
열대야라 시원한 음식이 필요하다,빙수
장마철이라 파전이 생각난다,파전
비가 부슬부슬 와서 전이 먹고 싶다,파전
속이 더부룩하다,죽
간단하게 다 같이 먹을 음식이 좋다,치킨
오늘 하루 고생해서 맛있는 거 먹을래,치킨
소화가 어려워서 부드러운 음식이 필요하다,죽
더워서 입맛이 없다,빙수
오늘은 김밥 같은 간단한 음식이 좋다,김밥
따뜻하고 든든한 음식이 먹고 싶다,삼계탕
입안이 시원해지는 게 먹고 싶다,빙수
속이 답답해서 강한 맛이 필요하다,마라탕
오늘은 영양 있는 음식이 좋다,삼계탕
든든한 국물 보양식이 필요하다,삼계탕
오늘 같은 날은 파전이 딱이다,파전
바삭한 튀김류가 먹고 싶다,치킨
입 안이 얼얼한 음식이 당긴다,마라탕
주말 밤이다,치킨
기름 냄새 나는 음식이 당긴다,파전
후식으로 차가운 게 먹고 싶다,빙수
소풍 갈 때 먹을 음식이 필요하다,김밥
성공한 날이라 맛있는 고기를 먹고 싶다,소고기
감기 기운이 있어서 따뜻한 음식이 좋다,칼국수
친구들과 생일파티를 한다,피자
손발이 차가워서 뜨끈한 국물 먹고 싶다,칼국수
영화 보면서 먹을 음식이 필요하다,치킨
치즈 많은 음식이 먹고 싶다,피자
맛이 센 음식이 필요하다,마라탕
우울할 때 먹기 좋은 매운 음식 추천해줘,마라탕
시간 없을 때 먹는 메뉴가 필요하다,김밥
오늘은 플렉스하고 싶다,소고기
퇴근 후 야식으로 먹을 음식 추천해줘,치킨
따뜻한 면이 먹고 싶은 날이다,칼국수
배는 많이 안 고픈데 간식이 먹고 싶다,떡볶이
오늘은 든든한 고기가 먹고 싶다,소고기
오늘은 나를 위한 보상 메뉴가 좋다,소고기
다 같이 나눠 먹을 음식이 필요하다,피자
출출해서 간식 먹고 싶다,떡볶이
얼음 가득한 디저트가 먹고 싶다,빙수
가성비 좋은 분식 메뉴 추천해줘,김밥
너무 추워서 몸을 녹이고 싶다,칼국수
오늘은 빵이랑 치즈가 당긴다,피자
오늘은 기름진 한식이 끌린다,파전
맛있는 단백질 음식이 필요하다,소고기
날씨가 추우니까 따끈한 칼국수 느낌이 좋다,칼국수
집에서 영화 보며 먹을 음식 추천해줘,피자
입맛 없어서 시원한 후식이 먹고 싶다,빙수
데이트 메뉴 추천해줘,소고기
집들이 음식이 필요하다,피자
매운 음식 먹으면 스트레스가 풀릴 것 같다,마라탕
달달한 걸 먹고 기분 좋아지고 싶다,빙수
시원하고 달달한 간식이 먹고 싶다,빙수
얼얼한 국물요리가 생각난다,마라탕
아침 공복에 먹기 좋은 음식 추천해줘,죽
공부하면서 간단히 먹고 싶다,김밥
든든한 닭고기 음식이 당긴다,삼계탕
너무 피곤하다,삼계탕
감기 걸릴 것 같아서 든든하게 먹고 싶다,삼계탕
병원 다녀와서 부드러운 게 먹고 싶다,죽
친구랑 학교 앞에서 먹을 메뉴 추천해줘,떡볶이
친구랑 수다 떨면서 먹을 분식이 필요하다,떡볶이
가볍게 매운 음식이 먹고 싶다,떡볶이
오늘 같은 날은 따뜻한 한 그릇이 딱이다,칼국수
날씨가 흐려서 뜨끈한 국수가 당긴다,칼국수
오늘은 강렬한 음식이 당긴다,마라탕
혼자 매운 음식 먹고 싶다,마라탕
따뜻하고 영양 많은 음식이 좋다,삼계탕
기분이 우울하다,마라탕
따뜻하고 깊은 국물 음식이 좋다,삼계탕
짜증나서 매운 게 당긴다,마라탕
오늘은 피자처럼 나눠 먹는 음식이 좋다,피자
기분이 꿀꿀해서 고소한 전이 당긴다,파전
자극적인 게 당긴다,마라탕
날이 추워서 국물 면 요리가 생각난다,칼국수
오늘은 뜨끈한 한 그릇이 필요하다,칼국수
학교 끝나고 먹기 좋은 음식이 먹고 싶다,떡볶이
달달하고 매콤한 음식이 필요하다,떡볶이
몸에 좋은 음식을 먹고 싶다,삼계탕
따뜻한 국물과 면이 같이 먹고 싶다,칼국수
가족끼리 나눠 먹을 메뉴 추천해줘,피자
들고 다니기 편한 음식이 좋다,김밥
매운 음식이 먹고 싶다,마라탕
퇴근 후 비 오는 날 안주가 필요하다,파전
여럿이 먹으면 좋은 배달 음식 추천해줘,피자
부드럽고 소화 쉬운 음식이 먹고 싶다,죽
오늘은 제대로 몸 챙기고 싶다,삼계탕
분위기 있는 맛집 가고 싶다,소고기
편하게 시켜 먹을 파티 음식 추천해줘,피자
혼자 빠르게 먹을 음식 추천해줘,김밥
매콤달콤한 음식이 당긴다,떡볶이
흐린 날에는 바삭한 전이 먹고 싶다,파전
친구랑 매운 음식 먹으러 가고 싶다,마라탕
몸살 기운이 있다,삼계탕
오늘은 편안한 한 끼가 먹고 싶다,칼국수
비가 온다,파전
오늘은 튀김이랑 같이 먹을 음식이 필요하다,떡볶이
간단하게 먹고 싶다,김밥
체력이 떨어진 것 같다,삼계탕
매운 음식으로 기분 풀고 싶다,마라탕
식사 준비할 시간이 없다,김밥
학교 앞 분식집 느낌이 당긴다,떡볶이
뜨끈한 국수로 하루를 마무리하고 싶다,칼국수
따뜻한 음식 먹고 기운 내고 싶다,칼국수
비 와서 집에서 전 먹고 싶다,파전
보양식이 먹고 싶다,삼계탕
치즈와 빵이 같이 있는 음식이 당긴다,피자
오늘은 배달음식이 당긴다,치킨
건강한 국물요리가 먹고 싶다,삼계탕
쫀득한 식감의 음식이 먹고 싶다,떡볶이
오늘은 기분 좋은 배달 음식이 먹고 싶다,피자
퇴근길에 비 맞아서 파전 생각난다,파전
하교 후 먹을 간식 추천해줘,떡볶이
퇴근하고 시원하게 먹을 음식이 필요하다,치킨
오늘은 마라탕 같은 음식이 생각난다,마라탕
가볍게 먹고 싶은데 든든했으면 좋겠다,김밥
오늘은 친구들과 나눠 먹기 좋은 음식이 필요하다,치킨
특별한 저녁 메뉴가 먹고 싶다,피자
특별한 저녁 식사가 필요하다,소고기
시원한 카페 메뉴가 당긴다,빙수
위장에 편한 음식이 먹고 싶다,죽
찬바람 때문에 뜨끈한 음식이 생각난다,칼국수
입맛 없을 때 먹을 자극적인 음식이 필요하다,마라탕
오늘은 매콤달콤한 떡볶이가 떠오른다,떡볶이
시간 없을 때 먹기 좋은 음식이 필요하다,김밥
바람이 많이 불어서 뜨끈한 게 당긴다,칼국수
속이 예민해서 부드러운 음식이 필요하다,죽
매운 국물 음식이 먹고 싶다,마라탕
오늘은 속을 보호하는 음식이 좋다,죽
오늘은 소고기 먹기 좋은 날이다,소고기
스트레스가 너무 심하다,마라탕
비 오고 쌀쌀해서 따뜻한 음식이 생각난다,칼국수
달콤한 디저트가 필요한 날이다,빙수
속이 안 좋다,죽
기분 전환할 음식이 필요하다,치킨
손에 들고 먹기 좋은 음식 추천해줘,김밥
바삭하고 고소한 음식이 먹고 싶다,파전
영양가 있는 한식이 먹고 싶다,삼계탕
토핑 많은 음식이 좋다,피자
복날 느낌 나는 음식이 먹고 싶다,삼계탕
힘든 일 끝나서 제대로 먹고 싶다,소고기
컨디션이 안 좋아서 죽 같은 음식이 좋다,죽
달콤하고 매운 메뉴 추천해줘,떡볶이
친구들이랑 놀기로 했다,치킨
오늘은 고급스러운 음식이 당긴다,소고기
위가 아파서 순한 음식이 필요하다,죽
아파서 부드러운 음식이 먹고 싶다,죽
매콤하고 뜨거운 음식이 먹고 싶다,마라탕
고기 먹고 힘내고 싶다,소고기
간단하고 맛있는 분식 메뉴 추천해줘,떡볶이
오늘은 비가 와서 전이 딱이다,파전
친구랑 나눠 먹는 분식이 필요하다,떡볶이
힘들었던 하루라 몸보신하고 싶다,삼계탕
매콤한 국물에 재료 넣어 먹는 음식이 좋다,마라탕
날씨가 우중충해서 고소한 음식이 먹고 싶다,파전
비 오는 날 술안주가 필요하다,파전
오늘은 고소한 치즈 음식이 먹고 싶다,피자
부담 없는 한 끼가 필요하다,김밥
기운 차릴 수 있는 음식 추천해줘,삼계탕
찬 음식은 싫고 따뜻한 음식이 좋다,칼국수
간편하게 먹을 한 끼가 필요하다,김밥
따뜻하고 부드러운 한 끼가 필요하다,죽
시원한 음료랑 먹을 음식이 좋다,치킨
뜨끈한 국물로 몸을 녹이고 싶다,칼국수
한 주 고생해서 보상받고 싶다,치킨
더운 날 먹기 좋은 음식이 필요하다,빙수
가볍고 따뜻하게 먹고 싶다,죽
외식으로 먹을 고기 메뉴 추천해줘,소고기
포근한 음식이 먹고 싶다,칼국수
매콤하고 달달한 야식 추천해줘,떡볶이
뜨거운 음식은 절대 싫다,빙수
오늘은 매운 걸로 스트레스 풀고 싶다,마라탕
오늘 너무 춥다,칼국수
여러 명이 같이 먹기 편한 음식이 좋다,피자
영화관 느낌 나는 음식이 먹고 싶다,피자
비 오는 날에는 바삭한 파전이 생각난다,파전
시원한 단맛이 필요하다,빙수
배가 살살 아프다,죽
오늘 축하할 일이 생겼다,치킨
분식집에서 빠르게 먹을 메뉴 추천해줘,김밥
비싼 메뉴로 기분 내고 싶다,소고기
간단하고 든든한 음식이 먹고 싶다,김밥
더워 죽겠다,빙수
오늘 너무 빡쳐서 매운 음식 먹고 싶다,마라탕
비 소리 들으니까 전이 당긴다,파전
여럿이 먹기 좋은 음식 추천해줘,피자
비가 와서 기름진 음식이 떠오른다,파전
간단하게 배달시켜 먹고 싶다,피자
입맛은 없지만 뭔가 먹어야 한다,죽
좋은 일이 생겨서 고기 먹고 싶다,소고기
기념일 저녁으로 먹을 음식 추천해줘,소고기
따뜻한 국물이 먹고 싶다,칼국수
간단한 점심 메뉴를 찾고 있다,김밥
흐린 날 바삭한 한식이 먹고 싶다,파전
하루 종일 지쳐서 힘나는 음식이 먹고 싶다,삼계탕
오늘은 떡볶이 같은 음식이 생각난다,떡볶이
비 오는 저녁에 맛있는 전 먹고 싶다,파전
여름에 잘 어울리는 음식이 먹고 싶다,빙수
기분이 별로라 매콤한 게 먹고 싶다,마라탕
피크닉 갈 때 먹을 음식 추천해줘,김밥
고기 구워 먹고 싶은 날이다,소고기
친구랑 게임하면서 먹을 음식이 좋다,피자
수업 사이에 먹을 음식이 필요하다,김밥
창밖에 비가 와서 파전이 떠오른다,파전
기분 좋게 외식하고 싶다,소고기
위가 불편하다,죽
속까지 따뜻해지는 음식이 먹고 싶다,칼국수
친구들이랑 수다 떨면서 먹기 좋은 음식이 필요하다,피자
오늘은 기분 좋게 야식 먹고 싶다,치킨
분식이 너무 먹고 싶다,떡볶이
원기 보충할 메뉴가 필요하다,삼계탕
소화가 잘 되는 음식이 필요하다,죽
시원하고 부드러운 디저트가 좋다,빙수
더운 날씨에 어울리는 카페 메뉴 추천해줘,빙수
간식인데 든든한 음식이 먹고 싶다,떡볶이
화나는 일이 있었다,마라탕
속을 든든하게 채우고 싶다,삼계탕
야식으로 분식이 당긴다,떡볶이
오늘은 자극적인 음식이 부담스럽다,죽
전집 가고 싶은 날이다,파전
쫄깃한 음식이 당긴다,떡볶이
친구랑 막걸리 마시면서 먹을 안주가 필요하다,파전
오늘 날씨가 축축해서 전이 생각난다,파전
속을 편하게 데워주는 음식이 먹고 싶다,칼국수
오늘은 평소보다 좋은 음식이 먹고 싶다,소고기
오늘 점심은 뜨끈한 걸로 먹고 싶다,칼국수
파티 음식이 필요하다,피자
치즈가 쭉 늘어나는 음식이 생각난다,피자
비가 오니까 따뜻하고 고소한 게 먹고 싶다,파전
편의점에서 먹을 만한 음식이 필요하다,김밥
간단한 도시락 메뉴가 먹고 싶다,김밥
원기회복이 필요하다,삼계탕
친구 생일에 먹을 음식 추천해줘,피자
몸이 약해진 것 같아서 든든한 게 필요하다,삼계탕
간단하지만 맛있는 배달 메뉴를 찾고 있다,피자
특별한 식사 자리가 있다,소고기
생일이라 맛있는 걸 먹고 싶다,치킨
손님이 와서 간단히 시킬 음식이 필요하다,피자
토핑을 골라 먹는 음식이 좋다,피자
승진해서 맛있는 거 먹고 싶다,소고기
파티 분위기 나는 음식이 필요하다,치킨
주말에 비 와서 전 부쳐 먹고 싶다,파전
오늘은 단짠단짠한 음식이 먹고 싶다,치킨
장마라서 파전이 너무 당긴다,파전
힘이 나는 음식을 먹고 싶다,삼계탕
오늘은 자극적인 한 끼가 필요하다,마라탕
몸보신하고 싶다,삼계탕
친구들이 집에 온다,피자
오늘은 순한 음식 말고 강한 맛이 좋다,마라탕
속이 울렁거려서 가벼운 게 좋다,죽
몸이 안 좋아서 따뜻하고 순한 음식이 좋다,죽
튀김이랑 같이 먹을 음식이 필요하다,떡볶이
치즈 좋아해서 치즈 많은 음식이 필요하다,피자
과제 끝내서 맛있는 거 먹고 싶다,치킨
따뜻한 국수 종류가 먹고 싶다,칼국수
밤에 배고파서 배달시키고 싶다,치킨
힘이 안 나서 든든한 음식이 먹고 싶다,삼계탕
날씨가 너무 습하고 덥다,빙수
체한 것 같아서 가벼운 음식이 좋다,죽
밖이 추워서 따뜻한 점심을 먹고 싶다,칼국수
아파서 씹기 편한 음식이 필요하다,죽
오늘은 다이어트 포기하고 싶다,치킨
날이 추워서 국수 한 그릇 먹고 싶다,칼국수
특별한 사람과 먹을 음식이 필요하다,소고기
스스로에게 선물 같은 음식을 주고 싶다,소고기
체해서 부드러운 음식이 필요하다,죽
차갑고 달콤한 음식이 먹고 싶다,빙수
월급 받았다,소고기
친구랑 배달 시켜 먹고 싶다,치킨
주말 파티 메뉴가 필요하다,피자
오늘은 매운 간식이 좋다,떡볶이
입맛을 확 살려주는 음식이 좋다,마라탕
친구들이랑 수다 떨면서 먹을 음식이 좋다,치킨
오늘은 분식이 당긴다,김밥
체력이 바닥난 느낌이다,삼계탕
출근 전에 간단히 먹을 메뉴가 필요하다,김밥
매콤하고 바삭한 음식이 먹고 싶다,치킨
데이트 때 먹기 좋은 음식이 필요하다,소고기
파티 분위기 나는 메뉴가 필요하다,피자
비 오는 밤에 먹을 메뉴를 찾고 있다,파전
배고픈데 시간이 없다,김밥
스트레스 받은 날이다,마라탕
국물 있는 음식으로 배를 채우고 싶다,칼국수
계속 짜증나서 매운 음식이 필요하다,마라탕
입맛 돋우는 매콤한 음식이 필요하다,마라탕
분위기 좋은 저녁을 먹고 싶다,소고기
스트레스 받은 날이라 맛있는 야식이 필요하다,치킨
얼얼하고 뜨거운 음식이 먹고 싶다,마라탕
스트레스 풀고 싶다,치킨
카페에서 오래 앉아있을 건데 먹을 게 필요하다,빙수
오늘은 빙수가 딱일 것 같다,빙수
따뜻하고 고소한 안주가 먹고 싶다,파전
너무 더워서 차가운 음식만 생각난다,빙수
위가 약해서 가벼운 메뉴가 필요하다,죽
스트레스 풀리는 음식이 필요하다,마라탕
몸이 지쳐서 따뜻한 보양식이 당긴다,삼계탕
쫄깃한 떡 요리가 먹고 싶다,떡볶이
여름 더위를 날릴 음식이 먹고 싶다,빙수
비 오는 날이라 기름진 게 먹고 싶다,파전
오늘은 죽 같은 음식이 당긴다,죽
밤에 출출해서 야식 먹고 싶다,치킨
입맛 없을 때 먹을 음식 추천해줘,죽
분식집 메뉴 추천해줘,떡볶이
축하할 때 먹기 좋은 메뉴가 필요하다,치킨
축하 모임 메뉴를 고르고 있다,소고기
바삭하고 짭짤한 게 먹고 싶다,치킨
기분전환용 음식이 필요하다,마라탕
목이 칼칼해서 따뜻한 국물이 좋겠다,칼국수
몸이 차가워져서 따뜻한 음식이 필요하다,칼국수
중요한 일이 잘 끝났다,소고기
흐린 날에는 고소한 파전이 좋다,파전
단체로 먹기 좋은 음식이 필요하다,피자
학교 끝나고 카페에서 먹을 메뉴가 필요하다,빙수
아파서 많이 못 먹겠다,죽
가볍게 한 끼 해결하고 싶다,김밥
오늘은 마라 느낌 나는 음식이 먹고 싶다,마라탕
자극적인 국물 음식이 생각난다,마라탕
오늘은 담백한 음식이 필요하다,죽
오늘 너무 덥다,빙수
모임 음식으로 좋은 메뉴 추천해줘,피자
비 오는 쌀쌀한 날에는 국물이 먹고 싶다,칼국수
오늘 같은 날은 차가운 디저트가 최고다,빙수
혼밥하기 편한 메뉴가 좋다,김밥
가볍고 든든한 밥 메뉴가 필요하다,김밥
시험 잘 봐서 축하하고 싶다,치킨
간단하지만 배부른 음식이 먹고 싶다,김밥
국물 요리가 먹고 싶은 저녁이다,칼국수
동아리 모임에서 먹을 음식 추천해줘,피자
특별한 날이다,소고기
월급날이라 맛있는 걸 먹고 싶다,소고기
오늘은 파전 같은 메뉴가 끌린다,파전
좋은 날 먹을 메뉴가 필요하다,소고기
오늘 날씨에는 전이 먹고 싶다,파전
오늘은 분식집 가고 싶은 날이다,떡볶이
스트레스 해소용 메뉴 추천해줘,마라탕
기력 회복할 음식 추천해줘,삼계탕
친구랑 카페 갈 건데 디저트가 필요하다,빙수
오늘은 분식 데이트가 좋겠다,떡볶이
기분이 다운돼서 매운 거 먹고 싶다,마라탕
친구랑 포장해서 먹을 분식 추천해줘,떡볶이
공부하다가 달달한 게 당긴다,빙수
겨울이라 국물 있는 음식이 좋다,칼국수
오늘은 서양식 메뉴가 끌린다,피자
공부하면서 먹기 좋은 음식이 필요하다,김밥
요즘 너무 무기력하다,삼계탕
오늘은 속 편한 한 끼가 좋다,죽
몸이 허한 느낌이다,삼계탕
따뜻하고 부드러운 음식이 당긴다,칼국수
친구랑 나눠 먹기 좋은 분식 추천해줘,떡볶이
몸에 좋은 닭요리가 생각난다,삼계탕
여름 보양식이 생각난다,삼계탕
비 오는 날 먹기 좋은 음식이 필요하다,파전
배는 고픈데 자극적인 건 싫다,칼국수
쌀쌀해서 따뜻한 밀가루 음식이 생각난다,칼국수
컨디션 회복용으로 가벼운 음식이 좋다,죽
비와 잘 어울리는 메뉴가 먹고 싶다,파전
야식이 먹고 싶다,치킨
맥주 안주로 먹을 음식이 필요하다,치킨
피곤할 때 먹기 좋은 음식 추천해줘,삼계탕
친구랑 놀러간다,피자
치즈 듬뿍 들어간 음식이 먹고 싶다,피자
추운 날엔 따뜻한 국물이 최고다,칼국수
축구 보면서 먹을 야식 추천해줘,치킨
